Distance_km,Transport_Mode,Weather,Traffic_Level,Fuel_Price,Carrier_Rating,Warehouse_Time_hr,Delivery_Delay_hr
2287,Air,Clear,High,86.49079044281805,1.4,24,42.64
1458,Truck,Storm,Low,102.51827802477229,1.8,17,35.74
1450,Truck,Clear,High,107.84973797448278,1.1,35,35.52
1356,Rail,Clear,Medium,107.47633044039549,3.1,31,14.8
2730,Ship,Rainy,Low,95.49370281532015,1.3,42,46.48
2725,Ship,Clear,Low,110.54102689190756,2.9,32,35.16
1022,Air,Rainy,Low,91.85390413787376,4.7,19,3.82
1818,Ship,Storm,High,76.1940282647781,3.9,31,45.37
1332,Rail,Storm,Low,98.22209208269066,1.3,39,39.15
759,Rail,Clear,High,117.61506923005533,1.9,20,23.32
1529,Air,Rainy,High,109.64968256962557,3.7,28,25.42
1484,Rail,Clear,Medium,98.93503238461211,4.6,3,9.57
698,Truck,Rainy,Medium,102.34028301745485,1.1,32,14.19
367,Truck,Rainy,Low,116.52810135177863,4.2,22,2.13
1307,Rail,Rainy,Low,91.41713972174803,3.2,44,27.46
733,Air,Storm,Medium,86.56970694713186,3.2,42,40.64
713,Ship,Rainy,High,118.86207825002245,4.8,44,31.45
2048,Air,Storm,High,113.17215667551667,4.0,15,43.37
1681,Ship,Rainy,Medium,86.15217923093012,4.4,38,34.1
1545,Rail,Storm,High,93.18902986804613,2.4,19,56.16
1186,Rail,Fog,Medium,90.75390645038995,3.2,31,21.17
1903,Truck,Storm,Medium,77.45478393357169,3.5,26,42.13
1570,Ship,Storm,Low,117.89096619066295,2.3,5,28.66
2539,Air,Clear,Low,90.21562156098794,3.3,20,33.77
613,Rail,Rainy,Medium,113.7664541318954,1.9,2,12.2
1341,Air,Fog,Low,79.46781138403325,1.6,21,18.61
1686,Truck,Clear,Medium,97.39354053186099,2.5,36,27.37
748,Ship,Rainy,High,71.19806925621349,4.0,28,23.08
2210,Ship,Fog,High,108.21102419211543,4.7,20,29.79
51,Rail,Fog,High,99.04569491231392,2.8,37,23.0
691,Ship,Fog,High,101.27947917348763,3.6,39,35.02
2317,Rail,Rainy,Medium,72.58604412773268,1.4,36,35.98
1639,Truck,Fog,High,80.55191651043077,4.6,11,19.17
904,Ship,Fog,High,73.71654361767901,3.3,3,12.81
1809,Rail,Clear,High,84.44571579019059,4.1,37,35.25
2482,Air,Storm,High,101.37195038410755,4.2,20,34.85
1711,Rail,Rainy,Medium,98.30929921586876,2.0,32,26.21
1203,Ship,Storm,High,100.60749108066952,3.1,47,50.77
1126,Truck,Clear,Low,97.46256356889472,4.8,25,21.35
1757,Ship,Storm,Low,83.65143978379297,1.4,21,29.5
2827,Ship,Fog,Low,82.22537486722126,3.7,16,23.07
1745,Rail,Fog,Low,76.85298417682907,4.8,42,29.0
1783,Air,Rainy,Low,112.45354374517461,2.2,1,3.55
1489,Ship,Rainy,Low,100.82396792706223,4.4,23,15.37
2344,Air,Rainy,Medium,79.325550625203,4.7,43,26.86
885,Rail,Clear,Low,78.86046899106198,4.0,24,19.7
252,Air,Rainy,High,113.65178007630684,1.9,47,26.37
172,Rail,Clear,Low,107.13654318816597,2.3,25,17.88
450,Truck,Fog,Medium,102.96995399526857,1.1,7,11.37
816,Air,Storm,Low,90.34320537696499,4.3,38,25.33
343,Air,Fog,High,83.09877821392588,4.4,47,20.77
2377,Truck,Fog,High,118.97253815564119,3.5,47,47.3
2981,Air,Fog,Medium,109.86197875114001,2.4,39,43.99
247,Truck,Rainy,Medium,85.08896115681382,1.3,35,19.1
1980,Ship,Rainy,Medium,112.37823981392474,4.0,14,14.92
2849,Rail,Rainy,Medium,107.94659743073407,3.9,9,28.92
2241,Truck,Storm,Low,84.85402749389992,4.7,3,25.84
658,Air,Rainy,Low,91.32764271208198,3.9,38,16.08
1197,Truck,Clear,High,79.29767226955133,4.3,20,17.81
236,Air,Fog,Medium,75.55262221890547,4.0,41,13.94
2561,Ship,Storm,Medium,106.13810164198483,3.5,33,41.03
1844,Truck,Storm,Low,83.37559286769333,2.7,41,43.83
709,Ship,Storm,Medium,111.00296828731268,4.6,44,30.32
2861,Rail,Storm,High,119.7804355757213,3.6,32,56.72
2005,Air,Storm,High,73.83099069648243,2.6,36,59.68
2500,Air,Clear,Medium,93.65175625418502,1.3,26,34.74
1419,Ship,Fog,High,110.10312796554015,2.2,5,25.31
2036,Rail,Storm,High,109.44754482706168,3.2,30,48.11
1584,Truck,Fog,Low,107.99985791654842,2.1,17,18.95
196,Truck,Rainy,High,87.44974676509554,1.9,6,8.56
2961,Air,Storm,Medium,92.69266278425262,3.1,15,40.62
1784,Ship,Storm,Medium,99.74841786707351,1.7,1,26.34
1893,Ship,Fog,High,118.69702917866286,4.2,13,20.23
538,Truck,Storm,Medium,86.37736354692464,2.9,34,19.25
2009,Rail,Storm,Low,116.15719438584289,3.3,30,41.76
1713,Rail,Storm,High,83.4678459090247,1.6,19,45.92
2648,Truck,Clear,High,119.45372327368523,2.3,2,34.61
2435,Truck,Clear,High,103.51318434137958,2.6,44,49.92
2969,Ship,Storm,Medium,93.17557401792754,4.2,12,41.13
690,Rail,Clear,Medium,100.66952140318024,4.1,40,22.27
1852,Truck,Rainy,High,83.62655845201034,1.9,44,48.66
2570,Truck,Storm,Medium,83.70869287557333,3.5,24,36.4
2019,Air,Rainy,Medium,75.67772719217469,2.0,11,16.21
2248,Truck,Fog,High,75.70251488526993,5.0,2,19.54
1488,Truck,Rainy,High,87.38358707344557,4.8,1,13.69
1684,Rail,Fog,Medium,108.14277389481859,3.3,28,23.03
312,Ship,Storm,High,100.39855837990812,3.8,4,6.14
1837,Rail,Fog,High,75.12922801655104,4.2,41,47.08
2241,Ship,Fog,High,112.61182624879555,3.9,30,36.24
2443,Air,Rainy,High,100.06838134950331,3.8,7,29.19
673,Truck,Rainy,Medium,118.04277883923899,4.8,22,14.35
1066,Air,Rainy,High,103.50927337056038,3.4,26,13.14
930,Ship,Storm,Low,78.75874318520906,3.5,29,24.24
2099,Rail,Storm,High,93.68916811539111,4.4,25,40.75
2994,Rail,Rainy,Low,102.42487987736021,3.7,10,25.86
1377,Air,Storm,High,71.41323505249889,3.9,20,33.1
2351,Ship,Storm,Low,70.7455132077404,1.9,14,43.95
502,Air,Fog,Low,76.47015002992839,2.5,33,19.89
1233,Air,Fog,High,82.58322175227354,1.6,5,24.42
2106,Truck,Rainy,High,91.47745617603377,3.0,45,45.8
1732,Air,Storm,High,94.37202368798941,2.8,6,25.72
2913,Truck,Fog,Low,76.90138044689483,5.0,22,19.73
2305,Truck,Clear,Medium,103.66957895579154,3.4,17,17.1
1204,Rail,Storm,Medium,99.80690308482674,4.1,15,23.14
453,Truck,Clear,High,84.723204942058,2.3,39,27.59
2249,Truck,Rainy,Medium,70.6829941717646,4.3,40,32.84
2151,Rail,Storm,Medium,73.88239576766453,3.5,28,36.67
1746,Air,Rainy,High,89.58473877554198,3.8,2,28.92
677,Ship,Rainy,Low,77.6987175582842,2.2,18,7.26
636,Ship,Rainy,High,88.84098030739854,3.2,27,26.1
1698,Ship,Rainy,Medium,101.40913022551776,3.5,21,20.49
1493,Air,Rainy,Low,97.36187139396418,3.4,23,19.33
1495,Truck,Storm,Medium,81.55879415686971,4.7,7,24.93
153,Ship,Clear,Low,87.19112456293762,4.6,19,9.14
303,Air,Storm,Medium,100.70155992243252,4.9,9,6.53
2607,Truck,Storm,High,113.04275140217243,3.7,12,46.67
1546,Rail,Storm,Medium,107.66067193694386,4.9,46,40.48
148,Ship,Fog,Medium,97.67000134167074,4.3,30,7.92
2250,Truck,Fog,Low,88.11464991582432,2.1,7,22.82
1934,Ship,Storm,Medium,88.25256387709027,2.7,2,21.5
1969,Ship,Clear,High,113.9708655132198,2.0,17,30.66
927,Ship,Storm,High,71.96217880202732,1.0,11,27.87
387,Truck,Rainy,High,119.39913222101305,1.8,12,18.78
2919,Air,Fog,Low,103.21877054257811,1.0,3,28.21
1006,Truck,Fog,Low,104.05688495361952,3.9,21,6.27
1754,Ship,Storm,Medium,71.89989186523711,2.7,14,25.52
210,Truck,Storm,Medium,100.27646374456361,2.3,15,-1.0
1653,Rail,Clear,Medium,94.23890300452234,4.0,42,27.06
2898,Air,Clear,Low,75.28894534470335,4.3,41,41.07
447,Truck,Rainy,Low,83.89610053846795,4.9,10,-1.01
1350,Rail,Storm,Medium,114.51572281068256,3.6,36,44.2
865,Air,Storm,Low,97.49942079329765,2.8,10,20.92
1577,Rail,Storm,Low,90.67082875869544,2.2,17,32.52
1969,Air,Fog,High,73.63410779204055,1.9,44,37.67
1465,Truck,Rainy,High,105.70607637011528,1.9,25,29.53
1208,Rail,Clear,Medium,105.14254116980163,2.6,27,17.95
1268,Ship,Fog,Medium,100.70218034862818,5.0,33,15.25
450,Rail,Fog,High,95.51313231103246,1.0,11,12.0
689,Air,Fog,Low,91.68922011036864,1.8,13,0.75
2785,Truck,Fog,Medium,99.66355464939961,1.8,1,18.37
509,Air,Rainy,Medium,81.66977258642034,3.9,31,17.16
1004,Rail,Storm,Medium,117.06295320888239,2.4,33,31.03
519,Rail,Clear,Low,99.43972645901148,2.8,21,7.56
1095,Ship,Clear,High,85.55962221771883,1.6,16,23.72
2847,Truck,Fog,Medium,92.48399254425786,2.6,39,48.61
1743,Truck,Fog,High,110.28423944384463,1.4,23,34.15
2135,Rail,Rainy,High,78.08080303651488,3.1,10,30.85
2327,Truck,Fog,Low,84.64178112301302,1.4,33,32.74
612,Ship,Clear,Low,103.97540113682777,4.2,22,5.63
2535,Air,Clear,Low,85.77446032411119,3.3,41,41.02
1849,Truck,Storm,Low,109.6250840930733,3.9,6,33.15
2124,Rail,Storm,Low,76.52267435886804,2.7,47,56.49
275,Air,Clear,Low,108.13430852273044,2.5,36,18.66
847,Air,Clear,Medium,73.41758574252832,1.4,47,29.93
2381,Ship,Rainy,High,70.62963063337475,3.1,10,37.62
2976,Rail,Rainy,Low,114.91117594160811,3.1,16,35.53
1009,Truck,Clear,Medium,99.06696084661493,2.9,13,-0.68
1554,Rail,Fog,High,87.59134485434058,4.0,20,20.27
502,Air,Storm,Low,81.62973184819252,4.3,4,10.11
865,Rail,Clear,Low,100.8442891630408,4.0,20,1.72
708,Truck,Fog,Medium,95.45010917683692,1.6,22,10.39
596,Truck,Clear,High,119.57988877649926,3.5,29,17.96
1265,Ship,Storm,Low,119.16079933268729,1.3,16,26.77
66,Truck,Storm,High,101.75122830708048,3.8,43,31.12
1293,Truck,Rainy,Medium,92.14352530529453,2.5,47,29.98
2255,Rail,Rainy,Low,94.5570484567331,1.5,43,45.18
2574,Rail,Rainy,High,104.1239533118431,4.4,23,35.11
1119,Air,Rainy,Medium,75.07872721176906,3.5,30,17.27
2615,Ship,Storm,Medium,86.41760369053591,2.4,30,39.6
2196,Rail,Fog,Low,73.7636120501802,1.1,43,46.38
1818,Truck,Fog,High,73.66803797584598,3.1,3,18.12
1110,Air,Fog,Low,79.79196209471169,4.7,24,8.26
2377,Rail,Clear,Low,94.26266272966134,3.4,37,36.54
2594,Ship,Rainy,High,109.23871605813946,4.9,13,26.81
351,Ship,Rainy,High,94.27479455829362,1.5,42,26.88
230,Air,Storm,High,86.77383052804349,3.3,32,30.99
656,Air,Storm,Medium,74.1176495168379,4.2,37,25.03
749,Air,Clear,Medium,97.51477615915648,3.1,12,18.85
1042,Air,Clear,High,83.56342932415883,1.4,8,19.25
1189,Air,Fog,Medium,100.74670889585737,3.3,24,20.38
240,Truck,Storm,Low,118.85938695662091,3.4,44,17.89
2350,Truck,Rainy,High,75.56571607387751,3.9,16,27.4
1030,Rail,Fog,Low,80.606269936097,4.0,32,12.87
2056,Ship,Rainy,High,93.65472690496874,4.1,34,32.59
1234,Truck,Fog,Low,118.43069076729648,3.7,35,24.52
177,Truck,Rainy,High,108.59048881349977,1.9,32,27.15
2115,Truck,Clear,Low,114.9114596581415,2.6,17,26.17
1866,Rail,Fog,High,86.68574242378965,4.1,2,18.33
1808,Air,Rainy,High,119.60192368892973,4.8,26,26.33
2663,Rail,Rainy,Medium,75.14164080320786,1.3,44,51.6
619,Ship,Storm,Low,72.64864530230504,3.1,17,28.85
1396,Ship,Fog,Medium,112.7801313527014,2.3,38,29.04
1945,Ship,Rainy,Low,116.36324351034932,1.9,2,21.35
2783,Ship,Storm,Medium,74.52926787730509,3.0,8,37.55
675,Truck,Rainy,High,75.67137133729207,3.4,46,34.73
2951,Truck,Fog,Medium,71.6587078877887,1.0,6,24.69
1736,Rail,Clear,Medium,75.2253781321362,4.1,9,11.22
204,Air,Fog,High,80.47099084001404,4.3,1,3.92
2587,Ship,Fog,Medium,118.50383094550006,4.9,5,24.63
1459,Rail,Rainy,High,103.39301111198402,1.7,39,34.6
834,Truck,Rainy,Low,108.9276512759271,3.4,9,-4.13
295,Truck,Fog,Medium,108.8069701845761,2.7,14,2.06
1550,Air,Storm,High,96.75368748896074,2.3,27,47.45
1755,Air,Storm,High,109.87444888565085,3.3,9,25.53
2856,Air,Storm,Medium,99.79037661949849,4.1,36,42.48
587,Rail,Rainy,Low,85.72730488016788,1.1,29,18.95
1940,Truck,Rainy,Medium,98.05550543842003,4.9,20,19.02
1891,Truck,Fog,High,96.67542930672568,4.2,15,28.98
970,Air,Clear,Low,111.17265268796604,4.0,36,13.56
2505,Ship,Rainy,Medium,119.08636086908295,4.0,3,16.93
574,Air,Fog,High,90.55212827104653,2.6,23,26.02
2925,Rail,Fog,Medium,108.16953392206798,4.0,46,38.29
1579,Air,Clear,Low,74.98815020190668,2.5,9,22.67
85,Air,Storm,Low,108.84156847241442,4.6,30,11.31
734,Rail,Fog,Low,88.57084559966161,1.7,19,17.69
69,Air,Fog,Low,71.96950814448434,2.2,38,13.43
2418,Truck,Fog,Low,88.16230892810886,3.2,3,13.56
2609,Ship,Storm,Medium,100.53213754608224,2.3,3,30.51
449,Air,Storm,Low,75.96250838407333,2.7,34,28.81
2751,Rail,Clear,Low,116.20172462151274,3.0,2,22.48
1021,Ship,Rainy,High,73.88362066364193,4.4,27,28.5
1956,Rail,Storm,Low,116.50033599165832,3.1,23,42.04
2568,Ship,Rainy,High,105.35687589678432,2.4,42,43.96
1216,Ship,Rainy,High,86.48560877071017,2.0,32,25.88
1165,Air,Storm,High,89.53751738545466,2.6,47,41.43
883,Truck,Fog,Medium,107.04046823663721,3.1,35,15.63
1873,Air,Clear,Medium,100.07355504406037,4.0,40,36.25
2824,Rail,Rainy,High,103.58214607274726,1.5,18,45.04
2032,Rail,Fog,Medium,89.45823082567401,1.9,27,27.29
903,Ship,Storm,Low,94.39067409037995,2.5,11,19.47
100,Ship,Rainy,Medium,119.49337420189467,2.4,39,22.72
624,Truck,Rainy,Low,80.69614352498589,2.6,19,20.08
1198,Air,Rainy,Low,90.89280932610657,4.2,25,17.38
2247,Rail,Fog,Medium,84.59115937869836,2.3,7,8.07
2411,Ship,Fog,Medium,108.25557552199248,3.0,31,35.1
2667,Truck,Fog,High,108.20063128328604,3.5,2,33.34
2402,Rail,Rainy,Medium,84.62227304986979,1.9,38,40.34
1765,Ship,Rainy,Medium,74.06951583164914,3.9,5,15.98
731,Rail,Clear,Medium,70.5716338336102,3.2,14,9.7
887,Truck,Clear,Low,91.37252666212427,2.8,18,6.1
1127,Truck,Fog,Low,90.51687971678854,4.2,36,16.44
2541,Rail,Fog,Low,119.41949393199314,2.0,4,21.8
2710,Air,Storm,High,93.49010378488398,4.5,24,53.43
2361,Rail,Fog,High,82.82091847877103,3.2,13,27.88
1645,Ship,Clear,High,114.56147205157336,3.4,21,30.43
54,Air,Clear,Low,94.55339748267892,4.5,33,9.56
1176,Ship,Clear,Medium,99.9587817605289,4.3,20,21.09
1269,Rail,Rainy,High,74.78343552141064,3.4,5,16.18
823,Air,Rainy,High,89.1458203664887,4.0,24,11.46
926,Ship,Fog,Low,117.21118372368935,2.7,35,24.59
1041,Rail,Storm,High,99.47526920877127,3.2,30,47.7
2981,Rail,Storm,Medium,87.22509275712308,1.2,28,54.97
96,Air,Storm,Low,101.28335903157965,1.4,45,26.72
2964,Rail,Rainy,Low,115.52055447890581,4.3,7,19.13
2920,Truck,Clear,Medium,83.6995300236295,1.2,42,43.04
2753,Ship,Clear,Medium,95.25583592353372,1.7,35,51.65
318,Ship,Rainy,Medium,117.93453269558776,4.2,30,8.14
419,Rail,Storm,High,78.61980716492263,1.0,34,33.88
685,Rail,Storm,Medium,105.98319627983557,2.1,39,31.36
1179,Truck,Fog,Low,100.72405041014912,3.3,9,8.11
1743,Air,Fog,Medium,103.98375655703174,3.4,12,24.47
1732,Rail,Storm,Low,87.56098153337848,4.1,29,28.55
